brand,category,component_subtype,series_name,component_name,nominal_size_mm,nominal_size_inch,flow_coefficient_type,flow_coefficient_value,capacity_kw,capacity_tons,connection_type,connection_standard,material,pressure_rating_bar,max_temperature_c,coolant_compatibility,estimated_price_usd,install_connection_time_min,part_number,source_catalog,source_page,datasheet_url,baseline_references,verification_status
Danfoss,strainer,line_strainer,FIA,"FIA 15 strainer straight-way, 100 micron plain filter net",15,0.5,Kv,2.5,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 15,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 20 strainer straight-way, 100 micron plain filter net",20,0.75,Kv,5.3,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 20,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 25 strainer straight-way, 100 micron plain filter net",25,1.0,Kv,10.5,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 25,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 32 strainer straight-way, 100 micron plain filter net",32,1.25,Kv,17.6,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 32,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 40 strainer straight-way, 100 micron plain filter net",40,1.5,Kv,19.2,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 40,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 50 strainer straight-way, 100 micron plain filter net",50,2.0,Kv,34.5,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 50,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 65 strainer straight-way, 150 micron plain filter net",65,2.5,Kv,42.9,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 65,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 80 strainer straight-way, 150 micron plain filter net",80,3.0,Kv,80.0,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 80,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 100 strainer straight-way, 150 micron plain filter net",100,4.0,Kv,124.2,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 100,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 125 strainer straight-way, 150 micron plain filter net",125,5.0,Kv,210.6,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 125,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 150 strainer straight-way, 150 micron plain filter net",150,6.0,Kv,276.9,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 150,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
Danfoss,strainer,line_strainer,FIA,"FIA 200 strainer straight-way, 150 micron plain filter net",200,8.0,Kv,438.1,,,Butt Weld,ANSI B36.10,Cold Resistant Steel,52,150,Ammonia/CO2/HFC,,,FIA 200,Danfoss FIA strainer data sheet AI222586432958en,Kv values table,https://assets.danfoss.com/documents/latest/87121/AI222586432958en-US1102.pdf,ASHRAE TC 9.9,verified
